frame,min (deg),max (deg),mean (deg),std (deg),var (deg)
0,4.1191597119905055e-05,359.9999694824219,43.281398438315094,42.71304646087577,31.841862585225268
1,0.00041417437023483217,359.9991760253906,35.5134724926981,50.17264032642958,43.935065701488455
2,2.1487614503712393e-05,359.99993896484375,43.784305167799445,50.39148583257069,44.31917788699209
3,0.0003077529836446047,359.9999694824219,36.39219063025167,55.718111540002795,54.18388544439545
4,0.0009308923035860062,359.9999694824219,30.52244205769804,63.85682503994229,71.16918800713309
5,0.0005547472974285483,360.0,34.993715973348216,81.48716467719879,115.89262007706468
6,0.00018919375725090504,359.9999694824219,42.838758792408505,88.51952773827341,136.7588827239506
7,3.571069100871682e-05,359.9999694824219,29.267093251403356,88.03360965524837,135.26155843927572
8,0.000118144293082878,360.0,25.796509099155042,83.57751358808173,121.91475248139452
9,0.0003085055504925549,359.9994812011719,18.78174413334079,96.76173650103239,163.41227452115234
10,6.376578676281497e-05,359.9999084472656,27.118342944959984,92.45557002213899,149.1913104379159
11,6.255937478272244e-05,359.9998474121094,10.934727046340644,95.58984927944435,159.47805166313415
12,0.00010574237239779904,359.9994812011719,19.917666731530122,100.34583789005138,175.74221465225648
13,0.00012035479448968545,359.99981689453125,38.717613506511306,95.34877710609256,158.67467678926482
14,0.0005470657488331199,359.9987487792969,26.98229773234828,95.16763778626864,158.07236342339095
15,7.919317431515083e-05,359.99969482421875,45.5861955925862,95.68897559838632,159.80897945507314
16,0.00024657134781591594,359.99945068359375,26.400447677021432,93.86946710405056,153.7892830725256
17,3.151881628582487e-06,359.99993896484375,47.943147974129715,86.50741861153114,130.61229881900763
18,0.00020123485592193902,359.9996032714844,42.74671024122097,95.63291373613444,159.62177785843213
