frame,min (um),max (um),mean (um),std (um),var (um)
0,0.001919767709605921,4.178234346575282,2.1387201909240017,0.7717377470384797,0.5955791502040286
1,0.0015508176541684452,3.9356668950943696,2.059077634010754,0.7996996995707991,0.6395196094936263
2,0.10287814375147455,4.091494271082324,2.0393395386347604,0.8145433837589138,0.6634809240254211
3,0.0035301096641151895,3.4794253740330263,1.967104808875884,0.7599787868624346,0.5775677564808978
4,0.004051362351122289,3.4226914746198136,1.8899326920505417,0.7418484154453033,0.5503390714987073
5,0.0013289031885899511,3.1283226174738332,1.7464362346860594,0.6343209296883028,0.4023630418406327
6,0.005250137310016944,3.086464171913697,1.7018446725668777,0.645826800040425,0.4170922556504551
7,0.0043303920105404094,3.372860688573005,1.6995630588718782,0.6444767850993076,0.41535032653193915
8,0.0026693092904397585,3.382966049375849,1.7543277004019326,0.7155957445112162,0.5120772695625618
9,0.0026329453262562315,3.4940430497214705,1.7038546759697624,0.7345613390578581,0.5395803608384736
10,0.0032940126243978666,3.2588624805404813,1.7290696696190238,0.7003297994551179,0.49046182800484567
11,0.0019316272977744394,3.233232203716631,1.721924668046416,0.7267428573829873,0.528155180757189
12,0.0008350804226232809,3.2618147813583716,1.6647374210217787,0.7038037847254345,0.49533976739384566
13,0.0017785263065644807,3.125795568402561,1.6586456111072887,0.7189370278260433,0.516870449979345
14,0.0027099893556151917,3.131469876398287,1.644901379708087,0.7145382798438444,0.5105649533622002
15,0.005128621329767725,3.3233000559403223,1.6367163616284401,0.7359123196268302,0.541566942178542
16,0.0014940145447476072,3.3455470105012823,1.6561390597548926,0.709268085375259,0.5030612169318857
17,0.0014461128801248032,3.3427941216781756,1.6681117374851706,0.7294817802190895,0.532143667671612
18,0.00037313755978958806,3.5071657428710936,1.6611146606222302,0.7412795071894747,0.5494953077790704
